uid,name,pos,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970
MeyeJa01,Jakobi Meyers,WR,146.8,144.8,113,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WentCa00,Carson Wentz,QB,112.8,258,198.4,275.9,193.2,281.7,213.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SamuCu00,Curtis Samuel,WR,144.3,6.8,173.6,144.7,117.3,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SamuDe00,Deebo Samuel,WR,140.4,300.5,64.2,160.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ThieAd00,Adam Thielen,WR,145,166.3,217,99.4,250.8,194.2,160.7,29.3,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BoydTy00,Tyler Boyd,WR,138.1,150.3,153.1,177.9,183.1,45.5,97.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HerbKh00,Khalil Herbert,RB,113.3,71.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StafMa00,Matthew Stafford,QB,108.4,329.7,260.6,166.6,212.2,273.6,279.8,290.3,251.6,278.9,276.1,343.3,50.5,125.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LondDr00,Drake London,WR,142.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SmitJu00,JuJu Smith-Schuster,WR,146.3,27.3,185.6,92.2,241.4,168.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PeopDo00,Donovan Peoples-Jones,WR,136.6,92.7,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PurdBr00,Brock Purdy,QB,106.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PeriSa00,Samaje Perine,RB,123.1,69.7,60.2,1.6,5.2,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RobiBr01,Brian Robinson Jr.,RB,108.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlleKe00,Keenan Allen,WR,131,204.8,195.1,209.5,211.6,233.2,9.3,128,136.8,184.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WilsZa00,Zach Wilson,QB,98.4,151.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HollMa00,Mack Hollins,WR,125.7,53.3,29.6,17.5,,36.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PalmJo00,Josh Palmer,WR,133.3,76.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DotsJa00,Jahan Dotson,WR,113.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HallBr03,Breece Hall,RB,105.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OsboKJ00,K.J. Osborn,WR,125.6,133.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JohnDi01,Diontae Johnson,WR,137.7,220.9,177.8,133.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuttCo00,Courtland Sutton,WR,127.4,121.2,8.1,186.4,115.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HuntKa00,Kareem Hunt,RB,109.3,99,199.5,82.9,217.2,268.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BrowMa04,Marquise Brown,WR,122.5,180.8,154,123.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CookBr00,Brandin Cooks,WR,117.1,186.8,191.5,96.5,203.2,188.7,207.3,211.6,112.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WhitRa01,Rachaad White,RB,114.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HopkDe00,DeAndre Hopkins,WR,119.7,126.2,230.3,216.5,276,261.8,158.4,275.6,193,116.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DrakKe00,Kenyan Drake,RB,95.6,87.5,179.7,189.2,179.7,126.3,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CampPa00,Parris Campbell,WR,117.6,27.2,11.7,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
